, MinRunTime, AverageRunTime, MaxRuntime
1, 3, 8, 17
2, 9, 16, 27
3, 9, 19, 33
4, 7, 18, 30
5, 8, 15, 26
6, 11, 25, 32
7, 12, 25, 32
8, 17, 28, 32
9, 17, 38, 136
10, 22, 34, 39
