resource#, MinRunTime(Nanosecond), MaxRuntime, AverageRunTime
100, 1777174300, 1809770100, 1789693533
200, 6487348400, 6634551000, 6553968600
300, 14739484100, 14869946700, 14816084900
400, 26399306700, 26509394300, 26448560400
500, 41229151000, 42375651900, 41763564566
