, MinRunTime, AverageRunTime, MaxRuntime
51,42,110,156
101,95,115,169
151,114,165,233
201,143,251,367
251,217,271,371
301,228,310,393
351,273,330,448
401,322,380,459
451,340,427,502
501,367,473,629
